creditos,nombre,teoria,laboratorio,semestre
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,1
1,SEMINARIO DE ORIENTACION,0,1,1
5,DIBUJO INDUSTRIAL,0,5,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
8,FISICA A,3,2,1
10,QUIMICA AGROINDUSTRIAL,4,2,1
8,BIOLOGIA PARA INGENIEROS,3,2,1
3,INTRODUCCION A LA INGENIERIA AGROINDUSTRIAL,0,3,1
5,HERRAMIENTAS DE COMPUTO,0,5,1
3,TALLER DE HABILIDADES DIGITALES,0,3,2
5,GEOMETRIA DESCRIPTIVA,0,5,2
5,DISEÑO ASISTIDO POR COMPUTADORA,0,5,2
8,CALCULO A,3,2,2
8,ALGEBRA B,3,2,2
10,BIOQUIMICA,4,2,2
3,TECNOLOGIAS DE LA TRANSFORMACION,0,3,2
6,ADMINISTRACION Y ORGANIZACION,3,0,2
0,INGLES 1,4,2,3
8,ACCIONES AGROECOLOGICAS,3,2,3
8,BALANCE DE MASA Y ENERGIA,4,0,3
8,FISICA B,3,2,3
10,QUIMICA ANALITICA,4,2,3
8,ANATOMIA Y FISIOLOGIA VEGETAL,3,2,3
8,ANATOMIA Y FISIOLOGIA ANIMAL,3,2,3
2,TENDENCIAS SOCIALES,0,2,4
0,INGLES 2,4,2,4
8,CALCULO D,3,2,4
8,TERMODINAMICA,4,0,4
10,MICROBIOLOGIA,3,4,4
8,RELACION SUELO-AGUA PLANTA ATMOSFERA,3,2,4
6,PLANEACION Y EVALUACION DE PROYECTOS,3,0,4
0,INGLES 3,4,2,5
10,ESTADISTICA,5,0,5
8,FISICOQUIMICA,4,0,5
8,PRODUCCION FORESTAL,3,2,5
8,PRODUCCION AGRICOLA,3,2,5
8,PRODUCCION PECUARIA,3,2,5
6,INGENIERIA ECONOMICA Y FINANCIERA,3,0,5
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,6
0,INGLES 4,4,2,6
8,METODOS ESTADISTICOS,3,2,6
8,FISICOQUIMICA DE BIOMOLECULAS,3,2,6
8,FLUJO DE FLUIDOS Y SEPARACIONES MECANICAS,4,0,6
8,FISIOLOGIA POSTRECOLECCION,3,2,6
6,FACTOR HUMANO,3,0,6
6,NEGOCIACION Y COMERCIALIZACION,3,0,6
0,INGLES 5,4,2,7
5,TALLER INTEGRADOR I,0,5,7
10,INGENIERIA DE PROCESOS AGROINDUSTRIALES,4,2,7
8,TRANSFERENCIA DE MASA,4,0,7
8,TRANSFERENCIA DE CALOR,4,0,7
12,BIOTECNOLOGIA,5,2,7
6,ADMINISTRACION DE CALIDAD TOTAL,3,0,7
5,TALLER INTEGRADOR II,0,5,8
10,INGENIERIA DE PLANTA I,4,2,8
11,PROCESOS ALIMENTARIOS AGRICOLAS,3,5,8
8,PROCESOS NO ALIMENTARIOS I,3,2,8
6,DESARROLLO EMPRESARIAL,3,0,8
5,TALLER INTEGRADOR III,0,5,9
10,INGENIERIA DE PLANTA II,4,2,9
8,PROCESOS FORESTALES,3,2,9
11,PROCESOS ALIMENTARIOS PECUARIOS,3,5,9
8,PROCESOS NO ALIMENTARIOS II,3,2,9
15,PRACTICAS PROFESIONALES I,0,240,10
