creditos,nombre,career_id
8,ALGEBRA A,3
4,HERRAMIENTAS DE COMPUTO I,3
8,CALCULO A,3
0,GEOMETRIA Y TRIGONOMETRIA,3
8,FISICA A,3
8,GEOLOGIA APLICADA A LA ING. CIVIL,3
5,GEOMETRIA DESCRIPTIVA,3
1,SEMINARIO Y VISITAS DE OBRA I,3
4,METODOLOGIA DE LA INVESTIGACION,3
0,SEMINARIO DE ORIENTACION ING. CIVIL,3
8,ALGEBRA B,3
3,HERRAMIENTAS DE COMPUTO II,3
8,CALCULO B,3
10,ESTATICA,3
7,MATERIALES DE CONSTRUCCION,3
5,DIBUJO CIVIL Y ARQUITECTONICO,3
1,SEMINARIO Y VISITAS DE OBRA II,3
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,3
0,INGLES 1,3
8,ESTADISTICA APLICADA,3
6,ANALISIS NUMERICO,3
8,CALCULO D,3
10,ANALISIS DE ESTRUCTURAS ISOSTATICAS,3
10,TOPOGRAFIA,3
6,FISICA C,3
1,SEMINARIO Y VISITAS DE OBRA III,3
3,LIDERAZGO Y EMPRENDIMIENTO,3
0,INGLES 2,3
8,INGENIERIA DE SISTEMAS,3
6,HERRAMIENTAS DE COMPUTO III,3
8,CINEMATICA,3
10,MECANICA DE MATERIALES,3
10,CONSTRUCCION I,3
6,SISTEMAS ELECTROMECANICOS,3
2,"ARTE, CULTURA Y HUMANIDADES I",3
0,INGLES 3,3
6,TEORIA DE LA PLANEACION,3
12,HIDRAULICA I,3
8,CINETICA,3
10,ANALISIS DE ESTRUCTURAS HIPERESTATICAS I,3
12,GEOTECNIA I,3
2,"ARTE, CULTURA Y HUMANIDADES II",3
0,INGLES 4,3
8,QUIMICA DEL AGUA,3
11,HIDRAULICA II,3
10,ESTRUCTURAS DE CONCRETO,3
10,ANALISIS DE ESTRUCTURAS HIPERESTATICAS II,3
10,CONSTRUCCION II,3
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",3
0,INGLES 5,3
8,"ADMINISTRACION, ECONOMIA Y LEGISLACION EN LA CONSTRUCCION",3
10,INGENIERIA SANITARIA,3
8,HIDROLOGIA,3
10,ESTRUCTURAS DE ACERO,3
6,SIMULACION DE SISTEMAS ESTRUCTURALES,3
10,GEOTECNIA II,3
6,TALLER DE PROYECTOS I,3
8,INSTALACIONES EN EDIFICIOS,3
10,OBRAS HIDRAULICAS,3
8,GEOHIDROLOGIA,3
6,CIMENTACIONES,3
10,CONSTRUCCION III,3
6,TALLER DE PROYECTOS II,3
6,URBANISMO,3
8,PUENTES,3
6,INGENIERIA SISMICA,3
10,VIAS TERRESTRES,3
6,CONSTRUCCION IV,3
6,LICITACION DE OBRAS,3
10,TALLER DE PROYECTOS III,3
6,INGENIERIA SUSTENTABLE,3
8,INGENIERIA VIAL,3
15,PRACTICAS PROFESIONALES I,3
6,"INGENIERIA DE COSTOS, CONTABILIDAD Y ESTADOS FINANCIEROS",3
10,TALLER DE PROYECTOS IV,3
0,SEMINARIO DE EGRESO,3
