creditos,nombre,career_id
8,QUIMICA A,4
8,MATEMATICAS DISCRETAS I,4
8,PENSAMIENTO ALGORITMICO,4
8,TEMAS SELECTOS DE MATEMATICAS,4
8,HERRAMIENTAS DE SOFTWARE,4
2,SEMINARIO DE ORIENTACION EN COMPUTACION,4
4,METODOLOGIA DE LA INVESTIGACION,4
8,CALCULO A,4
8,MATEMATICAS DISCRETAS II,4
8,ESTRUCTURAS DE DATOS I,4
8,ALGEBRA B,4
10,FUNDAMENTOS DE CURCUITOS ELECTRICOS,4
2,"ARTE, CULTURA Y HUMANIDADES I",4
5,INGLES 1,4
8,CALCULO B,4
8,INGENIERIA DE SOFTWARE,4
8,ESTRUCTURAS DE DATOS II,4
8,LENGUAJES DE PROGRAMACION,4
10,DISPOSITIVOS SEMICONDUCTORES,4
8,FUNDAMENTOS DE DISEÑO DIGITAL,4
8,CALCULO D,4
8,FISICA A,4
8,TECNOLOGIA ORIENTADA A OBJETOS,4
8,ALGORITMOS Y COMPLEJIDAD,4
10,DISEÑO DIGITAL,4
2,TENDENCIAS SOCIALES,4
5,INGLES 2,4
8,ANALISIS NUMERICO,4
8,INTERFACES GRAFICAS CON APLICACIONES,4
8,SISTEMAS OPERATIVOS,4
8,DISEÑO DE MICROCOMPUTADORAS,4
2,GESTION Y DESARROLLO SOCIAL,4
5,INGLES 3,4
8,INGENIERIA DE SOFTWARE B,4
10,GRAFOS,4
8,PROBABILIDAD Y ESTADISTICA,4
8,ADMINISTRACION,4
10,MICROCONTROLADORES,4
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,4
5,INGLES 4,4
8,ADMINISTRACION DE PROYECTOS I,4
8,GRAFICACION POR COMPUTADORA,4
10,COMPILADORES E INTERPRETES A,4
10,SISTEMAS OPERATIVOS B,4
8,ESTRUCTURAS DE ARCHIVOS,4
8,ROBOTICA,4
5,INGLES 5,4
8,ADMINISTRACION DE SISTEMAS,4
10,GRAFICACION POR COMPUTADORA B,4
12,PROGRAMACION DE SISTEMAS,4
10,BASES DE DATOS A,4
8,ADMINISTRACION INFORMATICA A,4
2,"ARTE, CULTURA Y HUMANIDADES II",4
8,FUNDAMENTOS DE DESARROLLO WEB,4
8,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,4
8,COMPUTACION UBICUA,4
8,ADMINISTRACION DE BASES DE DATOS,4
10,PROYECTO INTEGRADOR,4
12,REDES A,4
8,INTERFACES DE COMUNICACIONES,4
3,LIDERAZGO Y EMPRENDIMIENTO,4
15,PRACTICAS PROFESIONALES I,4
8,SUPERCOMPUTO,4
8,VISION COMPUTACIONAL,4
6,TECNOLOGIA INFORMATICA,4
8,TELEMATICA A,4
10,REDES B,4
1,SEMINARIO I.C.,4
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",4
0,SEMINARIO DE EGRESO,4
