creditos,nombre,teoria,laboratorio,semestre
3,DISEÑO ASISTIDO POR COMPUTADORA,0,3,1
8,QUIMICA A,3,2,1
8,ALGEBRA A,3,2,1
5,GEOMETRIA DESCRIPTIVA,0,5,1
8,CALCULO A,3,2,1
8,FISICA A,3,2,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
1,SEMINARIO DE ORIENTACION IEA,0,1,1
9,MATERIALES PARA INGENIERIA,4,1,2
9,ELECTRICIDAD Y MAGNETISMO A,4,1,2
6,CALCULO C,2,2,2
8,CALCULO B,3,2,2
8,ESTATICA,3,2,2
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,2
0,INGLES 1,4,2,2
8,ALGEBRA B,3,2,3
9,ELECTRICIDAD Y MAGNETISMO B,4,1,3
8,CALCULO D,3,2,3
6,SISTEMAS DE ALUMBRADO,3,0,3
11,MECANICA DE MATERIALES I,5,1,3
0,INGLES 2,4,2,3
8,MODELADO Y SIMULACION,3,2,4
8,INTRODUCCIÓN A LA PROGRAMACIÓN,3,2,4
12,CIRCUITOS ELECTRICOS A,5,2,4
10,PROBABILIDAD E INFERENCIA ESTADISTICA,5,0,4
8,DINAMICA,3,2,4
0,INGLES 3,4,2,4
7,INSTRUMENTACION INDUSTRIAL,3,1,5
7,DISEÑO DE SISTEMAS DIGITALES,3,1,5
12,ELECTRONICA I,5,2,5
10,CIRCUITOS ELECTRICOS B,4,2,5
11,TERMODINAMICA,5,1,5
0,INGLES 4,4,2,5
8,INGENIERIA DE CONTROL I,3,2,6
8,ELECTRONICA II,3,2,6
12,MAQUINAS ELECTRICAS I,5,2,6
3,DIAGRAMAS ELECTRICOS,0,3,6
8,TECNOLOGIA DE PLANTAS GENERADORAS,4,0,6
6,PRINCIPIOS DE ADMINISTRACION,3,0,6
0,INGLES 5,4,2,6
8,ELECTRONEUMATICA,3,2,7
7,MICROCONTROLADORES,3,1,7
8,ELECTRONICA DE POTENCIA I,3,2,7
6,ANALISIS NUMERICO,3,0,7
12,MAQUINAS ELECTRICAS II,5,2,7
3,INGENIERIA Y GESTION AMBIENTAL,0,3,7
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,7
0,VALIDACION DE LA LENGUA EXTRANJERA,0,0,7
8,CONTROL LOGICO PROGRAMABLE,3,2,8
8,ELECTRONICA DE POTENCIA II,3,2,8
6,ADMINISTRACION DE PROYECTOS,3,0,8
9,SISTEMAS ELECTRICOS DE POTENCIA I,4,1,8
10,INSTALACIONES ELECTRICAS A,5,0,8
6,CONTROL DE CALIDAD,3,0,8
8,INGENIERIA DE CONTROL II,3,2,9
10,PROYECTO INTEGRADOR IEA,3,4,9
8,SISTEMAS ELECTRICOS DE POTENCIA II,3,2,9
10,SUBESTACIONES ELECTRICAS A,5,0,9
6,ADMINISTRACION DE PERSONAL,3,0,9
2,SEMINARIO,0,2,9
15,PRACTICAS PROFESIONALES I,0,240,10
0,SEMINARIO DE EGRESO,0,0,10
