creditos,nombre,teoria,laboratorio,semestre
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
9,TECNOLOGIAS PARA EL MANEJO DE DATOS ESPACIALES,4,1,1
10,INTRODUCCION A LAS CIENCIAS GEOESPACIALES,5,0,1
5,GEOMETRIA DESCRIPTIVA,0,5,1
8,ALGEBRA A,3,2,1
8,METEOROLOGIA Y CLIMATOLOGIA,3,2,1
8,BASES DE DATOS ORIENTADAS A OBJETOS,3,2,2
8,PROGRAMACION ORIENTADA A OBJETOS,3,2,2
8,FISICA A,3,2,2
5,DIBUJO PARA INGENIEROS,0,5,2
10,ESTADISTICA,5,0,2
8,ALGEBRA B,3,2,2
0,INGLES 1,4,2,3
8,CALCULO A,3,2,3
8,FISICA Y ALTIMETRIA DE SATELITES,4,0,3
12,TOPOGRAFIA PLANIMETRICA Y ALTIMETRICA,4,4,3
8,FUNDAMENTOS DE SISTEMAS DE INFORMACION GEOGRAFICOS,3,2,3
8,FOTOGRAMETRIA DIGITAL,3,2,3
8,PROYECCIONES CARTOGRAFICAS,3,2,3
4,METODOLOGIA DE LA INVESTIGACION,0,4,4
0,INGLES 2,4,2,4
8,CALCULO B,3,2,4
8,LENGUAJE DE PROGRAMACION I,3,2,4
5,ASTRONOMIA PARA EL POSICIONAMIENTO,0,5,4
8,TOPOGRAFIA SUBTERRANEA,3,2,4
8,FUNDAMENTOS DE TELEDETECCION,3,2,4
8,QUIMICA A,3,2,4
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,5
0,INGLES 3,4,2,5
8,LENGUAJE DE PROGRAMACION II,3,2,5
8,GEODESIA,3,2,5
8,INTEGRACION DE DATOS ESPACIALES,3,2,5
8,APLICACIONES DE TELEDETECCION,3,2,5
8,CARTOGRAFIA DIGITAL,3,2,5
8,HIDROGRAFIA,3,2,5
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,6
0,INGLES 4,4,2,6
8,GESTION PARA LA CREACION DE UNA EMPRESA,4,0,6
8,LENGUAJE DE PROGRAMACION III,3,2,6
8,SISTEMAS DE POSICIONAMIENTO,3,2,6
10,BASES DE DATOS ESPACIALES,5,0,6
5,ANALISIS ESPACIAL DEL MEDIO AMBIENTE,0,5,6
8,SISTEMAS HIDROLOGICOS,3,2,6
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,7
0,INGLES 5,4,2,7
5,VALUACION INMOBILIARIA SOBRE EL TERRITORIO,0,5,7
5,PLANEACION Y DISEÑO DE SISTEMAS,0,5,7
5,DESARROLLO DE PROYECTO DE INGENIERIA,0,5,7
8,APLICACIONES DE GEODESIA Y POSICIONAMIENTO,3,2,7
8,APLICACIONES DE SISTEMAS DE INFORMACION GEOGRAFICOS,3,2,7
5,URBANISMO Y ORDENAMIENTO TERRITORIAL,0,5,7
8,AGRICULTURA DE PRECISION,3,2,7
3,GESTION DE PROYECTOS,0,3,8
5,SISTEMAS CATASTRALES,0,5,8
8,DIFUSION DE DATOS ESPACIALES EN INTERNET,3,2,8
8,ESTRUCTURAS DE DATOS GEOMETRICOS,3,2,8
2,SEMINARIO DE TITULACION,1,0,8
8,MODELOS DIGITALES DE TERRENO,3,2,8
8,INTELIGENCIA ARTIFICIAL Y RECONOCIMIENTO DE PATRONES,3,2,8
8,LEGISLACION PARA EL USO DE DATOS GEOESPACIALES,3,2,8
8,MODELADO EN OBRAS HIDRAULICAS,3,2,8
2,"ARTE, CULTURA Y HUMANIDADES II",0,2,9
8,GEOESTADISTICA,3,2,9
8,MODELIZACION GEOMETRICA 3D,3,2,9
8,MINERIA DE DATOS ESPACIALES,3,2,9
5,DELIMITACION TERRITORIAL,0,5,9
