creditos,nombre,teoria,laboratorio,semestre
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
8,QUIMICA A,3,2,1
8,ALGEBRA A,3,2,1
0,SEMINARIO DE ORIENTACION ING. AMBIENTAL,0,1,1
6,COMPUTACION APLICADA A,1,4,1
5,CRISTALOGRAFIA,1,3,1
10,GEOLOGIA BASICA I,5,0,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,1
0,INGLES 1,4,2,2
8,CALCULO A,3,2,2
8,ALGEBRA B,3,2,2
5,DIBUJO GEOLOGICO ESTRUCTURAL,1,3,2
6,COMPUTACION APLICADA B,1,4,2
5,MINERALOGIA,1,3,2
10,GEOLOGIA BASICA II,5,0,2
6,SEDIMENTOLOGIA,3,0,2
0,INGLES 2,4,2,3
8,CALCULO B,3,2,3
8,FISICA A,3,2,3
6,GEOMORFOLOGIA,3,0,3
9,MINEROLOGIA OPTICA,2,5,3
8,TOPOGRAFIA APLICADA Y PRACTICAS,3,2,3
6,ESTRATIGRAFIA,3,0,3
2,TENDENCIAS SOCIALES,0,2,3
0,INGLES 3,4,2,4
6,HIDROLOGIA,3,0,4
6,FISICA C,2,2,4
6,GEOLOGIA ESTRUCTURAL I,3,0,4
11,PETROLOGIA Y PETROGRAFIA IGNEA,4,3,4
8,PROBABILIDAD Y ESTADISTICA,3,2,4
6,PALEONTOLOGIA,1,4,4
2,GESTION Y DESARROLLO SOCIAL,0,2,4
0,INGLES 4,4,2,5
8,AGUA SUBTERRANEA,4,0,5
8,GEOQUIMICA,4,0,5
8,GEOLOGIA ESTRUCTURAL II,4,0,5
8,PETROLOGIA Y PETROGRAFIA SEDIMENTARIA,2,4,5
8,GEOLOGIA HISTORICA,4,0,5
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,5
0,INGLES 5,4,2,6
8,ADMINISTRACION Y COACHING EMPRESARIAL,4,0,6
10,EXCURSIONES GEOLOGICAS I,0,10,6
6,GEOMORFOLOGIA ESTRUCTURAL,1,4,6
10,PETROLOGIA Y PETROGRAFIA METAMORFICA,3,4,6
8,GEOTECTONICA,4,0,6
8,METODOS DE PERFORACION,3,2,6
2,"ARTE, CULTURA Y HUMANIDADES II",0,2,6
7,FORMULACION Y GESTION DE PROYECTOS,2,3,7
8,CONTAMINACION DEL AGUA SUBTERRANEA,4,0,7
10,DESARROLLO DE PROYECTOS GEOLOGICOS I,0,10,7
8,GEOLOGIA DE MEXICO,4,0,7
10,YACIMIENTOS MINERALES,5,0,7
5,GEOFISICA APLICADA,1,3,7
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,7
10,EXCURSIONES GEOLOGICAS II,0,10,8
10,DESARROLLO DE PROYECTOS GEOLOGICOS II,0,10,8
6,GEOLOGIA DEL PETROLEO,3,0,8
8,GEOLOGIA ECONOMICA,4,0,8
6,COMPUTACION APLICADA C,1,4,8
12,GEOTECNIA I,5,2,8
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,8
8,METODOS DE EXPLORACION,4,0,9
8,GEOLOGIA AMBIENTAL,4,0,9
15,PRACTICAS PROFESIONALES I,0,240,9
15,PRACTICAS PROFESIONALES II,0,240,9
10,GEOLOGIA APLICADA A LA INGENIERIA CIVIL,5,0,9
