creditos,nombre,teoria,laboratorio,semestre
8,QUIMICA A,3,2,1
8,PENSAMIENTO ALGORITMICO,4,0,1
8,ALGEBRA A,3,2,1
8,HERRAMIENTAS DE SOFTWARE,4,0,1
8,FUNDAMENTOS DE DISEÑO DIGITAL,4,0,1
0,SEMINARIO DE ORIENTACION I.I.,0,1,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
8,FISICA A,3,2,2
0,GEOMETRIA Y TRIGONOMETRIA,3,2,2
8,ESTRUCTURAS DE DATOS I,4,0,2
8,ALGEBRA B,3,2,2
8,CALCULO A,3,2,2
8,MATEMATICAS DISCRETAS I,4,0,2
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,2
10,INGENIERIA DE REQUERIMIENTOS,5,0,3
8,LENGUAJES DE PROGRAMACION,4,0,3
8,ESTRUCTURAS DE DATOS II,4,0,3
8,CALCULO D,3,2,3
6,CALCULO C,2,2,3
10,DISEÑO DIGITAL,4,2,3
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,3
5,INGLES 1,0,5,3
8,MODELADO MATEMATICO,4,0,4
8,TECNOLOGIA ORIENTADA A OBJETOS,4,0,4
8,ANALISIS NUMERICO,4,0,4
10,ARQUITECTURA DE COMPUTADORAS A,5,0,4
6,LEGISLACION E INFORMATICA,3,0,4
2,TENDENCIAS SOCIALES,0,2,4
5,INGLES 2,0,5,4
10,INGENIERIA DE SOFTWARE A,5,0,5
6,MODELOS MATEMATICOS B,3,0,5
8,INTERFACES GRAFICAS CON APLICACIONES,4,8,5
8,PROBABILIDAD Y ESTADISTICA,4,0,5
6,ECONOMIA Y FINANZAS,3,0,5
2,GESTION Y DESARROLLO SOCIAL,0,2,5
5,INGLES 3,0,5,5
8,INGENIERIA DE SOFTWARE B,3,2,6
8,GRAFICACION POR COMPUTADORA,4,0,6
10,GRAFOS,5,0,6
8,SISTEMAS OPERATIVOS,4,0,6
8,ESTRUCTURAS DE ARCHIVOS,3,2,6
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,6
5,INGLES 4,0,5,6
8,INGENIERIA DE SOFTWARE C,3,2,7
8,ADMINISTRACION DE SISTEMAS,3,2,7
10,COMPILADORES E INTERPRETES A,5,0,7
12,REDES A,5,2,7
10,BASES DE DATOS A,5,0,7
8,ADMINISTRACION,3,2,7
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,7
5,INGLES 5,0,5,7
8,FUNDAMENTOS DE DESARROLLO WEB,4,0,8
10,GRAFICACION POR COMPUTADORA B,5,0,8
8,VISION COMPUTACIONAL,4,0,8
10,SISTEMAS OPERATIVOS B,5,0,8
8,ADMINISTRACION DE BASES DE DATOS,3,2,8
10,PROYECTO INTEGRADOR,3,4,8
2,"ARTE, CULTURA Y HUMANIDADES II",0,2,8
8,APLICACIONES WEB INTERACTIVAS,4,0,9
8,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,4,0,9
10,SISTEMAS DE INFORMACION A,5,0,9
8,TELEMATICA A,3,2,9
10,REDES B,5,0,9
10,BASES DE DATOS B,5,0,9
8,ADMINISTRACION INFORMATICA A,3,2,9
15,PRACTICAS PROFESIONALES I,0,240,9
8,SUPERCOMPUTO,3,2,10
8,COMPUTACION UBICUA,3,2,10
6,SISTEMAS DE INFORMACION B,3,0,10
8,PRINCIPIOS DE SEGURIDAD INFORMATICA,4,0,10
0,SEMINARIO DE EGRESO,0,0,10
6,TECNOLOGIA INFORMATICA,3,0,10
8,ADMINISTRACION INFORMATICA B,3,2,10
1,SEMINARIO I.I.,0,1,10
