creditos,nombre,teoria,laboratorio,semestre
8,ALGEBRA A,3,2,1
6,PRINCIPIOS DE ADMINISTRACION,3,0,1
8,QUIMICA A,3,2,1
5,GEOMETRIA DESCRIPTIVA,0,5,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
8,FISICA A,3,2,1
8,CALCULO A,3,2,1
1,SEMINARIO DE ORIENTACION IM,0,1,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
8,ALGEBRA B,3,2,2
3,HABILIDADES SOCIO AFECTIVAS Y ETICAS,0,3,2
8,DIBUJO EN INGENIERIA MECANICA,4,0,2
6,CALCULO C,2,2,2
8,ESTATICA,3,2,2
8,FISICA B,3,2,2
8,CALCULO B,3,2,2
0,INGLES 1,4,2,2
10,PROBABILIDAD E INFERENCIA ESTADISTICA,5,0,3
6,INGENIERIA DE MATERIALES I,3,0,3
3,DIBUJO ASISTIDO POR COMPUTADORA,0,3,3
8,DINAMICA,3,2,3
11,MECANICA DE MATERIALES I,5,1,3
8,CALCULO D,3,2,3
0,INGLES 2,4,2,3
6,INVESTIGACION DE OPERACIONES I,3,0,4
8,INTRODUCCIÓN A LA PROGRAMACIÓN,3,2,4
7,INGENIERIA DE MATERIALES II,3,1,4
8,METROLOGIA,3,1,4
10,CINEMATICA DE LAS MAQUINAS,5,0,4
6,MECANICA DE MATERIALES II,3,0,4
0,INGLES 3,4,2,4
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,4
8,SISTEMAS DE PRODUCCION,3,2,5
6,ANALISIS NUMERICO,3,0,5
8,PROCESOS DE FABRICACION I,3,2,5
6,METODOLOGIA DEL DISEÑO,3,0,5
11,TERMODINAMICA,5,1,5
9,ELECTROTECNIA PARA INGENIERIA I,4,1,5
0,INGLES 4,4,2,5
6,PROCESOS DE FABRICACION II,3,0,6
10,VIBRACIONES MECANICAS,5,0,6
11,DISEÑO MECANICO A,5,2,6
11,MAQUINAS TERMICAS,5,1,6
10,ELECTROTECNIA PARA INGENIERIA II,5,0,6
0,INGLES 5,4,2,6
6,CONTROL DE CALIDAD,3,0,7
8,PROCESOS DE FABRICACION III,3,2,7
6,ADMINISTRACION DE PROYECTOS,3,0,7
9,DISEÑO MECANICO B,4,1,7
11,MECANICA DE FLUIDOS,5,1,7
7,SISTEMAS DE CONTROL Y AUTOMATIZACION,3,1,7
0,VALIDACION DE LA LENGUA EXTRANJERA,0,0,7
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,7
8,CONTROL NUMERICO COMPUTARIZADO,3,2,8
3,INGENIERIA Y GESTION AMBIENTAL,0,3,8
9,METODO DE LOS ELEMENTOS FINITOS,4,1,8
10,FENOMENOS DE TRANSPORTE,5,0,8
10,CIRCUITOS HIDRAULICOS Y NEUMATICOS,4,2,8
6,TOPICOS AVANZADOS DE FABRICACION,3,0,9
6,MANTENIMIENTO INDUSTRIAL,3,0,9
10,PROYECTO INTEGRADOR IM,3,4,9
7,SISTEMAS HIDROMECANICOS A,3,1,9
2,SEMINARIO,0,2,9
6,INSTALACIONES INDUSTRIALES,3,0,10
15,PRACTICAS PROFESIONALES I,0,240,10
0,SEMINARIO DE EGRESO,0,0,10
