creditos,nombre,career_id
6,PRINCIPIOS DE ADMINISTRACION,10
8,ALGEBRA A,10
8,FISICA A,10
8,CALCULO A,10
0,GEOMETRIA Y TRIGONOMETRIA,10
5,GEOMETRIA DESCRIPTIVA,10
8,QUIMICA A,10
4,METODOLOGIA DE LA INVESTIGACION,10
1,SEMINARIO DE ORIENTACION IMA,10
8,ALGEBRA B,10
8,CALCULO D,10
8,FISICA B,10
8,CALCULO B,10
8,ESTATICA,10
8,DIBUJO EN INGENIERIA MECANICA,10
0,INGLES 1,10
6,INTRODUCCION A LA CONTABILIDAD,10
8,INTRODUCCIÓN A LA PROGRAMACIÓN,10
11,TERMODINAMICA,10
6,CALCULO C,10
8,DINAMICA,10
6,INGENIERIA DE MATERIALES I,10
0,INGLES 2,10
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,10
6,CONTABILIDAD INDUSTRIAL,10
6,INVESTIGACION DE OPERACIONES I,10
6,ANALISIS NUMERICO,10
11,MECANICA DE MATERIALES I,10
11,MECANICA DE FLUIDOS,10
7,INGENIERIA DE MATERIALES II,10
0,INGLES 3,10
3,DIBUJO ASISTIDO POR COMPUTADORA,10
6,CONTABILIDAD ADMINISTRATIVA,10
6,INVESTIGACION DE OPERACIONES II,10
11,MAQUINAS TERMICAS,10
10,CINEMATICA DE LAS MAQUINAS,10
6,MECANICA DE MATERIALES II,10
9,ELECTROTECNIA PARA INGENIERIA I,10
0,INGLES 4,10
6,ECONOMIA,10
6,SISTEMAS DE PRODUCCION I,10
10,PROBABILIDAD E INFERENCIA ESTADISTICA,10
10,FENOMENOS DE TRANSPORTE,10
10,ELECTROTECNIA PARA INGENIERIA II,10
8,PROCESOS DE FABRICACION I,10
0,INGLES 5,10
6,ADMINISTRACION DE PERSONAL,10
6,SISTEMAS DE PRODUCCION II,10
8,METROLOGIA,10
8,INGENIERIA DE METODOS,10
11,DISEÑO MECANICO A,10
7,SISTEMAS DE CONTROL Y AUTOMATIZACION,10
0,VALIDACION DE LA LENGUA EXTRANJERA,10
6,GERENCIA EFECTIVA DE EMPRESAS,10
6,CONTROL DE CALIDAD,10
6,ADMINISTRACION DE PROYECTOS,10
3,INGENIERIA Y GESTION AMBIENTAL,10
9,DISEÑO MECANICO B,10
10,CIRCUITOS HIDRAULICOS Y NEUMATICOS,10
6,PROCESOS DE FABRICACION II,10
8,FORMULACION Y EVALUACION DE PROYECTOS,10
6,DISEÑO DE SISTEMAS DE PRODUCCION,10
6,SISTEMAS DE GESTION DE CALIDAD Y MEJORA CONTINUA,10
10,PROYECTO INTEGRADOR IMA,10
8,PROCESOS DE FABRICACION III,10
15,PRACTICAS PROFESIONALES I,10
0,SEMINARIO DE EGRESO,10
2,SEMINARIO,10
