creditos,nombre,teoria,laboratorio,semestre
8,ALGEBRA A,3,2,1
5,GEOMETRIA DESCRIPTIVA,0,5,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
5,EXPERIMENTACION MECANICA ELECTRICA,0,0,1
8,CALCULO A,3,2,1
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,1
8,FISICA A,3,2,1
8,QUIMICA A,3,2,1
1,SEMINARIO DE ORIENTACION IME,0,0,1
0,INGLES 1,4,2,2
8,ALGEBRA B,3,2,2
9,ELECTRICIDAD Y MAGNETISMO A,4,1,2
6,CALCULO C,2,2,2
8,CALCULO D,3,2,2
8,CALCULO B,3,2,2
8,ESTATICA,3,2,2
0,INGLES 2,4,2,3
8,INTRODUCCIÓN A LA PROGRAMACIÓN,3,2,3
8,DIBUJO EN INGENIERIA MECANICA,4,0,3
9,ELECTRICIDAD Y MAGNETISMO B,4,1,3
6,MATEMATICAS APLICADAS,3,0,3
8,DINAMICA,3,2,3
9,MATERIALES PARA INGENIERIA,4,1,3
0,INGLES 3,4,2,4
6,ANALISIS NUMERICO,3,0,4
3,DIBUJO ASISTIDO POR COMPUTADORA,0,3,4
12,CIRCUITOS ELECTRICOS A,5,2,4
6,PRINCIPIOS DE ADMINISTRACION,3,0,4
11,TERMODINAMICA,5,1,4
11,MECANICA DE MATERIALES I,5,1,4
0,INGLES 4,4,2,5
10,PROBABILIDAD E INFERENCIA ESTADISTICA,5,0,5
10,CIRCUITOS ELECTRICOS B,4,2,5
11,MAQUINAS TERMICAS,5,1,5
11,MECANICA DE FLUIDOS,5,1,5
6,MECANICA DE MATERIALES II,3,0,5
0,INGLES 5,4,2,6
12,ELECTRONICA APLICADA,5,2,6
12,MAQUINAS ELECTRICAS I,5,2,6
6,CONTROL DE CALIDAD,3,0,6
7,MODELADO Y SIMULACION DE SISTEMAS,3,1,6
10,FENOMENOS DE TRANSPORTE,5,0,6
0,VALIDACION DE LA LENGUA EXTRANJERA,0,0,7
6,INVESTIGACION DE OPERACIONES I,3,0,7
12,MAQUINAS ELECTRICAS II,5,2,7
3,DIAGRAMAS ELECTRICOS,0,3,7
8,INGENIERIA DE CONTROL I,3,2,7
10,SISTEMAS ELECTROHIDRAULICOS Y ELECTRONEUMATICOS,4,2,7
10,CINEMATICA DE LAS MAQUINAS,5,0,7
12,ANALISIS DE SISTEMAS DE POTENCIA,5,2,8
10,PROCESOS DE MANUFACTURA I,4,2,8
8,AUTOMATIZACION INDUSTRIAL,3,2,8
7,SISTEMAS HIDROMECANICOS A,3,1,8
11,DISEÑO MECANICO A,5,2,8
6,USO EFICIENTE E IMPACTO AMBIENTAL DE LA ENERGIA,3,0,9
10,INSTALACIONES ELECTRICAS B,5,0,9
8,PROCESOS DE MANUFACTURA II,3,2,9
10,PROYECTO INTEGRADOR IME,3,4,9
9,METODO DE LOS ELEMENTOS FINITOS,4,1,9
15,PRACTICAS PROFESIONALES I,0,240,10
0,SEMINARIO DE EGRESO,0,0,10
2,SEMINARIO,0,2,10
