creditos,nombre,career_id
3,HABILIDADES SOCIO AFECTIVAS Y ETICAS,12
8,ALGEBRA A,12
8,CALCULO A,12
0,GEOMETRIA Y TRIGONOMETRIA,12
8,FISICA A,12
8,DIBUJO EN INGENIERIA MECANICA,12
8,QUIMICA A,12
4,METODOLOGIA DE LA INVESTIGACION,12
1,SEMINARIO DE ORIENTACION IMT,12
8,ALGEBRA B,12
8,CALCULO D,12
9,ELECTROTECNIA PARA INGENIERIA I,12
8,CALCULO B,12
8,ESTATICA,12
9,MATERIALES PARA INGENIERIA,12
0,INGLES 1,12
11,TERMODINAMICA,12
12,CIRCUITOS ELECTRICOS A,12
8,DINAMICA,12
11,MECANICA DE MATERIALES I,12
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,12
0,INGLES 2,12
10,PROBABILIDAD E INFERENCIA ESTADISTICA,12
8,PROGRAMACION I,12
6,MATEMATICAS APLICADAS,12
12,ELECTRONICA I,12
6,MECANICA DE MATERIALES II,12
3,DIBUJO ASISTIDO POR COMPUTADORA,12
0,INGLES 3,12
6,ANALISIS NUMERICO,12
7,DISEÑO DE SISTEMAS DIGITALES,12
8,ELECTRONICA II,12
8,CIRCUITOS Y MOTORES ELECTRICOS,12
7,MODELADO Y SIMULACION DE SISTEMAS,12
10,CINEMATICA DE LAS MAQUINAS,12
0,INGLES 4,12
6,PRINCIPIOS DE ADMINISTRACION,12
7,INSTRUMENTACION INDUSTRIAL,12
7,MICROCONTROLADORES,12
8,ELECTRONICA INDUSTRIAL A,12
8,INGENIERIA DE CONTROL I,12
11,DISEÑO MECANICO A,12
0,INGLES 5,12
6,CONTROL DE CALIDAD,12
8,PROGRAMACION II,12
8,ELECTRONEUMATICA,12
8,INGENIERIA DE CONTROL II,12
10,ROBOTICA A,12
10,PROCESOS DE MANUFACTURA I,12
3,LIDERAZGO Y EMPRENDIMIENTO,12
0,VALIDACION DE LA LENGUA EXTRANJERA,12
6,INVESTIGACION DE OPERACIONES I,12
8,CONTROL LOGICO PROGRAMABLE,12
8,INTERFACES HW-SW,12
6,ADMINISTRACION DE PROYECTOS,12
3,INGENIERIA Y GESTION AMBIENTAL,12
8,PROCESOS DE MANUFACTURA II,12
12,REDES INDUSTRIALES,12
10,PROYECTO INTEGRADOR IMT,12
2,SEMINARIO,12
15,PRACTICAS PROFESIONALES I,12
0,SEMINARIO DE EGRESO,12
