creditos,nombre,teoria,laboratorio,semestre
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
8,ALGEBRA A,3,2,1
0,SEMINARIO DE ORIENTACION,0,1,1
10,INTRODUCCION A LOS MATERIALES,3,4,1
10,ORIGEN DE LOS MATERIALES,4,2,1
8,QUIMICA A,3,2,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,1
8,FISICA A,3,2,2
8,ALGEBRA B,3,2,2
8,CALCULO A,3,2,2
6,DINAMISMO I,1,4,2
10,MINERALOGIA,3,4,2
10,QUIMICA DE MATERIALES,3,4,2
6,FISICA C,2,2,3
8,CALCULO B,3,2,3
6,DINAMISMO II,1,4,3
10,OBTENCION DE MATERIALES,5,0,3
10,ANALISIS DE MATERIALES,3,4,3
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,3
2,TENDENCIAS SOCIALES,0,2,3
0,INGLES 1,4,2,3
6,INGENIERIA ELECTRICA,3,0,4
8,CALCULO E,3,2,4
8,MECANICA DE FLUIDOS,3,2,4
10,PRINCIPIOS DE ECONOMIA,5,0,4
12,MATERIALES DE INGENIERIA I,5,2,4
2,GESTION Y DESARROLLO SOCIAL,0,2,4
0,INGLES 2,4,2,4
5,INSTRUMENTACION,1,3,5
6,ECOLOGIA I,3,0,5
4,COMPUTACION APLICADA,0,4,5
10,FISICOQUIMICA,5,0,5
12,BENEFICIO DE MATERIALES I,4,4,5
8,MATERIALES DE INGENIERIA II,3,2,5
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,5
0,INGLES 3,4,2,5
15,PRACTICAS PROFESIONALES I,0,240,6
6,MATEMATICAS APLICADAS,1,4,6
10,TERMODINAMICA DE MATERIALES,5,0,6
12,BENEFICIO DE MATERIALES II,4,4,6
10,MECANICA DE MATERIALES,5,0,6
6,CERAMICOS,3,0,6
3,GESTION DE PROYECTOS,0,3,6
0,INGLES 4,4,2,6
6,ADMINISTRACION,2,2,7
10,FENOMENOS DE TRANSPORTE,4,2,7
12,EXTRACTIVA I,5,2,7
10,FORMADO DE MATERIALES,4,2,7
6,POLIMEROS,3,0,7
0,INGLES 5,4,2,7
6,CONTROL DE CALIDAD,3,0,8
8,FUNDICION,3,2,8
8,CINETICA,3,2,8
12,EXTRACTIVA II,5,2,8
10,TRANSFORMACIONES DE FASES,4,2,8
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,8
8,ECOLOGIA II,3,2,9
8,SIMULACION,3,2,9
8,SELECCION Y USO DE MATERIALES,3,2,9
10,DISEÑO DE PROCESOS,4,2,10
