creditos,nombre,career_id
8,HERRAMIENTAS DE SOFTWARE,14
8,PENSAMIENTO ALGORITMICO,14
8,MATEMATICAS DISCRETAS I,14
8,TEMAS SELECTOS DE MATEMATICAS,14
8,QUIMICA A,14
4,METODOLOGIA DE LA INVESTIGACION,14
2,SEMINARIO DE ORIENTACION EN COMPUTACION,14
8,SISTEMAS INTERACTIVOS,14
8,ESTRUCTURAS DE DATOS I,14
8,MATEMATICAS DISCRETAS II,14
8,ALGEBRA B,14
8,CALCULO A,14
2,TENDENCIAS SOCIALES,14
5,INGLES 1,14
8,INGENIERIA DE SOFTWARE,14
8,ESTRUCTURAS DE DATOS II,14
8,LENGUAJES DE PROGRAMACION,14
8,FISICA A,14
8,CALCULO B,14
8,ARQUITECTURA DE COMPUTADORAS,14
5,INGLES 2,14
8,BASES DE DATOS,14
8,TECNOLOGIA ORIENTADA A OBJETOS,14
8,ALGORITMOS Y COMPLEJIDAD,14
8,ANALISIS NUMERICO,14
8,CALCULO D,14
8,SOFTWARE DE SISTEMAS,14
8,GRAFICACION POR COMPUTADORA,14
8,INTERFACES GRAFICAS CON APLICACIONES,14
8,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,14
8,SISTEMAS OPERATIVOS,14
8,REDES DE COMPUTADORAS Y SEGURIDAD,14
2,GESTION Y DESARROLLO SOCIAL,14
5,INGLES 3,14
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,14
8,ADMINISTRACION DE PROYECTOS I,14
8,ELECTIVA DE ÁREA DE ÉNFASIS I,14
8,ELECTIVA DE ÁREA DE ÉNFASIS II,14
8,PROBABILIDAD Y ESTADISTICA,14
2,"ARTE, CULTURA Y HUMANIDADES I",14
5,INGLES 4,14
8,PROYECTOS COMPUTACIONALES I,14
8,ADMINISTRACION DE PROYECTOS II,14
8,ELECTIVA DE ÁREA DE ÉNFASIS III,14
8,ELECTIVA DE ÁREA DE ÉNFASIS IV,14
8,MODELADO MATEMATICO,14
3,LIDERAZGO Y EMPRENDIMIENTO,14
5,INGLES 5,14
8,PROYECTOS COMPUTACIONALES II,14
8,ELECTIVA DE ÁREA DE ÉNFASIS V,14
8,ELECTIVA DE ÁREA DE ÉNFASIS VI,14
8,ELECTIVA DE ÁREA DE ÉNFASIS VII,14
8,ELECTIVA DE ÁREA DE ÉNFASIS VIII,14
2,"ARTE, CULTURA Y HUMANIDADES II",14
2,ACTIVIDADES DE APRENDIZAJE I,14
8,PROYECTOS COMPUTACIONALES III,14
8,INVESTIGACIÓN EN COMPUTACIÓN,14
1,SEMINARIO DE EGRESO ISI,14
6,MOVILIDAD I,14
0,SEMINARIO DE EGRESO EGRESO,14
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",14
15,PRACTICAS PROFESIONALES I,14
