id,career_id,nombre,creditos
1,1,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
2,1,SEMINARIO DE ORIENTACION,1
3,1,DIBUJO INDUSTRIAL,5
4,1,GEOMETRIA Y TRIGONOMETRIA,0
5,1,FISICA A,8
6,1,QUIMICA AGROINDUSTRIAL,10
7,1,BIOLOGIA PARA INGENIEROS,8
8,1,INTRODUCCION A LA INGENIERIA AGROINDUSTRIAL,3
9,1,HERRAMIENTAS DE COMPUTO,5
10,1,TALLER DE HABILIDADES DIGITALES,3
11,1,GEOMETRIA DESCRIPTIVA,5
12,1,DISEÑO ASISTIDO POR COMPUTADORA,5
13,1,CALCULO A,8
14,1,ALGEBRA B,8
15,1,BIOQUIMICA,10
16,1,TECNOLOGIAS DE LA TRANSFORMACION,3
17,1,ADMINISTRACION Y ORGANIZACION,6
18,1,INGLES 1,0
19,1,ACCIONES AGROECOLOGICAS,8
20,1,BALANCE DE MASA Y ENERGIA,8
21,1,FISICA B,8
22,1,QUIMICA ANALITICA,10
23,1,ANATOMIA Y FISIOLOGIA VEGETAL,8
24,1,ANATOMIA Y FISIOLOGIA ANIMAL,8
25,1,TENDENCIAS SOCIALES,2
26,1,INGLES 2,0
27,1,CALCULO D,8
28,1,TERMODINAMICA,8
29,1,MICROBIOLOGIA,10
30,1,RELACION SUELO-AGUA PLANTA ATMOSFERA,8
31,1,PLANEACION Y EVALUACION DE PROYECTOS,6
32,1,INGLES 3,0
33,1,ESTADISTICA,10
34,1,FISICOQUIMICA,8
35,1,PRODUCCION FORESTAL,8
36,1,PRODUCCION AGRICOLA,8
37,1,PRODUCCION PECUARIA,8
38,1,INGENIERIA ECONOMICA Y FINANCIERA,6
39,1,LIDERAZGO Y EMPRENDIMIENTO,3
40,1,INGLES 4,0
41,1,METODOS ESTADISTICOS,8
42,1,FISICOQUIMICA DE BIOMOLECULAS,8
43,1,FLUJO DE FLUIDOS Y SEPARACIONES MECANICAS,8
44,1,FISIOLOGIA POSTRECOLECCION,8
45,1,FACTOR HUMANO,6
46,1,NEGOCIACION Y COMERCIALIZACION,6
47,1,INGLES 5,0
48,1,TALLER INTEGRADOR I,5
49,1,INGENIERIA DE PROCESOS AGROINDUSTRIALES,10
50,1,TRANSFERENCIA DE MASA,8
51,1,TRANSFERENCIA DE CALOR,8
52,1,BIOTECNOLOGIA,12
53,1,ADMINISTRACION DE CALIDAD TOTAL,6
54,1,TALLER INTEGRADOR II,5
