creditos,nombre,teoria,laboratorio,semestre
8,HERRAMIENTAS DE COMPUTO,3,2,1
5,DIBUJO PARA INGENIEROS,0,5,1
8,INTRODUCCION A LA TOPOGRAFIA Y CONSTRUCCION,3,2,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
8,GEOLOGIA,3,2,1
8,ALGEBRA A,3,2,1
5,GEOMETRIA DESCRIPTIVA,0,5,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
5,TRIGONOMETRIA PLANA Y DEL ESPACIO,0,5,2
10,TOPOGRAFIA PLANIMETRICA,5,0,2
8,QUIMICA A,3,2,2
8,FISICA A,3,2,2
7,MATERIALES DE CONSTRUCCION,2,3,2
8,ALGEBRA B,3,2,2
2,TENDENCIAS SOCIALES,0,2,2
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,2
5,ASTRONOMIA PARA EL POSICIONAMIENTO,0,5,3
10,TOPOGRAFIA ALTIMETRICA,3,4,3
8,PROYECCIONES CARTOGRAFICAS,3,2,3
10,CONSTRUCCION I,5,0,3
8,CALCULO A,3,2,3
2,GESTION Y DESARROLLO SOCIAL,0,2,3
3,TALLER DE HABILIDADES DIGITALES,0,3,3
0,INGLES 1,4,2,3
8,GEODESIA,3,2,4
8,TOPOGRAFIA EN VIAS TERRESTRES,3,2,4
8,TOPOGRAFIA SUBTERRANEA,3,2,4
8,GENERACION DE CARTOGRAFIA,3,2,4
10,CONSTRUCCION II,5,0,4
8,ADMINISTRACION DE EMPRESAS,3,2,4
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,4
0,INGLES 2,4,2,4
8,SISTEMAS DE POSICIONAMIENTO,3,2,5
8,INGENIERIA DE TRANSITO,3,2,5
12,GEOTECNIA I,5,2,5
10,CONSTRUCCION III,5,0,5
6,GERENCIA DE PROYECTOS,3,0,5
0,INGLES 3,4,2,5
10,TOPOGRAFIA EN OBRA CIVIL,3,4,6
8,HIDROSISTEMAS,3,2,6
6,PROYECTO INTEGRADOR,0,6,6
6,LICITACION DE OBRAS,3,0,6
8,MODELADO EN OBRAS HIDRAULICAS,3,2,6
6,CONSTRUCCION IV,3,0,6
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,6
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,6
0,INGLES 4,4,2,6
15,PRACTICAS PROFESIONALES I,0,240,7
6,"INGENIERIA DE COSTOS, CONTABILIDAD Y ESTADOS FINANCIEROS",3,0,7
6,INTERPRETACION DE CARTA TEMATICA,3,0,7
8,FOTOGRAMETRIA DIGITAL,3,2,7
8,RESIDENCIA DE OBRA,3,2,7
5,MODELACION TOPOGRAFICA EN 3D,0,5,7
2,"ARTE, CULTURA Y HUMANIDADES II",0,2,7
0,INGLES 5,4,2,7
